fraud_status,Clean_Text
fraud,highrisk subprime loans misclassified prime loans deceive investors
non-fraud,proxy statements provide transparency major shareholder votes board decisions
non-fraud,regular audits conducted ensure compliance financial data security regulations
fraud,tax returns falsified claim nonexistent deductions
fraud,customer payment information stored insecurely leading data breaches
non-fraud,company regularly reviews asset impairment ensure accurate valuations financial statements
non-fraud,compliance officers ensure adherence anticorruption antimoney laundering regulations
fraud,company engaged money laundering complex offshore transactions
fraud,revenue artificially inflated backdated contracts
non-fraud,investor presentations provide clear explanations revenue streams cost structures
non-fraud,payroll expenses reconciled employee records ensure accuracy
fraud,loan guarantees secured using forged financial statements
fraud,unreported overseas operations concealed additional revenue streams
non-fraud,financial modeling projections used maintain stable liquidity position
fraud,bogus transactions created show false growth cash flow
fraud,consulting fees paid shell companies classified legitimate business expenses
non-fraud,company robust policies prevent asset misappropriation ensuring accountability levels
non-fraud,company robust policies prevent asset misappropriation ensuring accountability levels
non-fraud,companys credit rating regularly reviewed ensure financial health
fraud,company hid legal settlement costs public disclosures
non-fraud,bond issuances debt financing activities disclosed shareholder communications regulatory filings
fraud,company engaged pumpanddump schemes benefit top executives
fraud,fake online transactions processed create artificial sales records
non-fraud,financial modeling projections used maintain stable liquidity position
fraud,significant operational losses masked reclassifying onetime expenses
fraud,bribes kickbacks disguised legitimate business payments
fraud,bankruptcy proceedings delayed manipulated financial reports
fraud,undisclosed offthebooks debt used finance risky investments
non-fraud,independent auditors conduct external audits verify financial transparency
fraud,interest expenses fraudulent loans recorded financial statements
non-fraud,companys physical assets buildings machinery regularly appraised properly recorded
fraud,inflated expenses reported decrease taxable income artificially
non-fraud,transaction logs monitored detect prevent unauthorized access
non-fraud,strict access controls enforced prevent unauthorized changes financial databases
fraud,data manipulation tactics used alter financial reports online banking systems
fraud,multiple fraudulent credit lines opened siphon bank funds
non-fraud,company ensures compliance industry regulations recognizing revenue longterm contracts
non-fraud,company adheres ethical procurement practices ensuring unauthorized payments made
non-fraud,compliance officers ensure adherence anticorruption antimoney laundering regulations
fraud,company issued loans fake business entities created insiders
fraud,undocumented cash withdrawals made corporate accounts
non-fraud,discounts returns allowances accounted revenue calculations ensure accuracy
fraud,foreign income disclosed evade international tax regulations
fraud,corporate executives falsified investor presentations attract funding
fraud,personal luxury travel expenses recorded businessrelated costs
fraud,company engaged fraudulent refinancing schemes hide financial distress
non-fraud,companys credit rating regularly reviewed ensure financial health
fraud,illicit aipowered trading algorithms deployed manipulate market prices
fraud,earnings reports altered mislead shareholders stock sale
fraud,used vehicles valued brandnew assets overstate balance sheet figures
fraud,company falsely claimed refunds rebates additional revenue
fraud,funds transferred personal accounts guise strategic investments
non-fraud,bank borrowings reconciled lender statements confirm accurate reporting
non-fraud,companyowned vehicles equipment recorded asset registers clear usage logs
fraud,company recorded nonexistent real estate holdings inflate net worth
non-fraud,bond issuances debt financing activities disclosed shareholder communications regulatory filings
fraud,exaggerated property values used secure larger loans
fraud,bank loans fraudulently secured using falsified financial statements
non-fraud,company regularly conducts earnings calls update investors financial results
non-fraud,company implements strong cybersecurity protocols protect financial data
non-fraud,multifactor authentication used financial system access prevent unauthorized transactions
fraud,fake invoices generated create illusion increased sales
fraud,digital audit logs altered cover unauthorized financial transactions
fraud,ransomware attacks falsely classified maintenance expenses
fraud,payments made nonexistent suppliers funneled executives
non-fraud,stock buyback programs executed based strategic financial planning market conditions
fraud,company reported revenue contracts never finalized
fraud,expenses related unapproved vendor payments hidden general business expenses
fraud,transfer pricing manipulated shift profits lowtax jurisdictions
fraud,revenue recognized receiving payment customers
non-fraud,company ensures transparency mergers acquisitions restructuring activities
fraud,significant loan obligations kept balance sheet deceive investors
non-fraud,companys board directors regularly reviews financial reports accuracy compliance
non-fraud,regular audits conducted ensure compliance financial data security regulations
non-fraud,inventory management practices ensure stock levels accurately recorded matched physical counts
fraud,company created fake vendors route funds hide liabilities
fraud,severance pay legal settlements recorded asset purchases
fraud,cybersecurity breaches deliberately hidden regulators avoid legal scrutiny
fraud,payroll taxes underreported minimize expense recognition
fraud,highrisk loans issued boost shortterm revenue numbers
fraud,government grants misused unrelated corporate expenditures
fraud,company underreported revenue avoid paying corporate taxes
fraud,falsified employee wages claimed fraudulent tax credits
non-fraud,investor communications include full transparency financial performance business risks
fraud,investors misled companys profitability altered sec filings
fraud,unauthorized digital wallets linked corporate accounts illicit transfers
non-fraud,company ensures compliance industry regulations recognizing revenue longterm contracts
fraud,artificial discounts applied inflate sales figures audits
non-fraud,bank reconciliations performed regularly ensure accurate cash balance reporting
non-fraud,company ensures transparency mergers acquisitions restructuring activities
fraud,machinery equipment sold still reported financial records
non-fraud,company robust policies prevent asset misappropriation ensuring accountability levels
non-fraud,employee reimbursements verified company policies approval
fraud,company included fake intellectual property rights part assets
non-fraud,shareholder reports provide detailed breakdowns financial performance company strategy
non-fraud,research development costs capitalized expensed accordance accounting standards
non-fraud,executive bonuses compensation fully disclosed financial reports
non-fraud,investor communications include full transparency financial performance business risks
non-fraud,compliance officers ensure adherence anticorruption antimoney laundering regulations
non-fraud,companys credit rating regularly reviewed ensure financial health
non-fraud,financial disclosures comply relevant regulatory requirements accounting standards
non-fraud,financial statements regularly audited confirm revenue recognition policies comply ifrs gaap
fraud,bank reconciliations manipulated hide embezzlement activities
fraud,company engaged cookie jar accounting smooth revenue fluctuations
fraud,stock options granted based fabricated financial growth projections
fraud,company used tax shelters hide taxable profits offshore accounts
fraud,company insiders manipulated stock prices releasing false financial reports
fraud,fixed asset depreciation ignored falsely enhance companys financial position
fraud,debt writeoffs falsely categorized profitable investments
fraud,customers charged hidden fees disclosed upfront
fraud,large wire transfers conducted without proper documentation
non-fraud,employee reimbursements verified company policies approval
fraud,executives engaged insider trading without reporting regulatory authorities
non-fraud,strict access controls enforced prevent unauthorized changes financial databases
fraud,valuation reports companyowned land manipulated attract investors
fraud,loan default risks hidden investors maintain credit ratings
non-fraud,financial statements regularly audited confirm revenue recognition policies comply ifrs gaap
fraud,multiple accounts used create fraudulent perception cash reserves
non-fraud,company maintains sufficient cash reserves cover shortterm obligations
fraud,employee reimbursement claims falsified siphon company funds
non-fraud,deferred revenue properly recorded contracts ongoing service obligations
non-fraud,sales records consistently reconciled customer payments prevent discrepancies
fraud,user accounts artificially created inflate digital transaction numbers
fraud,loans shell companies falsely reported legitimate revenue
fraud,executives authorized illegal cryptocurrency transactions false pretenses
fraud,repayment obligations omitted create illusion higher liquidity
fraud,research grants misused executive bonuses classified rd expenses
fraud,debt covenants intentionally violated disclosed financial reports
fraud,mortgage applications contained falsified income information secure loans
fraud,fraudulent personal loans granted using stolen identities
fraud,company recorded sales transactions nonexistent customers
non-fraud,annual quarterly financial reports made publicly available stakeholders
fraud,future sales prematurely recognized meet quarterly revenue targets
fraud,financial forecasts exaggerated secure additional investments
fraud,company inflated value cryptocurrency holdings without proper accounting measures
fraud,mergers acquisitions falsely announced manipulate stock value
fraud,unreported pension obligations created misleading picture financial stability
non-fraud,deferred tax liabilities calculated based tax laws reported transparently
fraud,company failed remit employee tax withholdings tax authorities
non-fraud,corporate treasury functions adhere risk management best practices cash handling
fraud,highvalue artwork purchased using company funds misclassified office supplies
non-fraud,performance metrics return equity roe earnings per share eps accurately reported
non-fraud,company discloses executive compensation stock options annual filings
fraud,deferred liabilities incorrectly recorded longterm assets
non-fraud,strict access controls enforced prevent unauthorized changes financial databases
non-fraud,sales records consistently reconciled customer payments prevent discrepancies
fraud,obsolete technology reported cuttingedge innovation financial statements
fraud,market rumors spread artificially inflate share prices selling holdings
fraud,marketing expenditures misclassified technology investments show higher profitability
non-fraud,cfo senior executives certify accuracy financial reports filing regulatory bodies
